1,0,1,4
1,0,2,4
1,0,3,4
1,0,4,4
1,0,5,4
1,0,6,4
1,0,7,4
1,0,8,4
1,0,9,4
1,0,10,4
1,0,11,4
1,0,12,4
1,0,13,4
1,0,14,4
1,1,1,4
1,1,2,4
1,1,3,4
1,1,4,4
1,1,5,4
1,1,6,4
1,1,7,4
1,1,8,4
1,1,9,4
1,1,10,6159
1,1,11,5135
1,1,12,4111
1,1,13,4
1,1,14,4
1,2,1,4
1,2,2,4
1,2,3,4
1,2,4,4
1,2,5,4
1,2,6,4
1,2,7,4
1,2,8,4
1,2,9,4
1,2,10,7183
1,2,11,6159
1,2,12,5135
1,2,13,4
1,2,14,4
1,3,1,4
1,3,2,4
1,3,3,4
1,3,4,4
1,3,5,4
1,3,6,4
1,3,7,4
1,3,8,4
1,3,9,4
1,3,10,4
1,3,11,4
1,3,12,4
1,3,13,4
1,3,14,4
1,4,1,4
1,4,2,4
1,4,3,4
1,4,4,4
1,4,5,4
1,4,6,4
1,4,7,4
1,4,8,4
1,4,9,4
1,4,10,4
1,4,11,4
1,4,12,4
1,4,13,4
1,4,14,4
1,5,1,4
1,5,3,4
1,5,5,4
1,5,6,54323
1,5,7,53299
1,5,8,52275
1,5,9,51251
1,5,10,51251
1,5,11,51251
1,5,12,51251
1,5,13,51251
1,5,14,133171
2,0,1,4
2,0,2,12315
2,0,3,13339
2,0,6,26673
2,0,7,27697
2,0,8,4
2,0,14,2100
2,1,1,4
2,1,8,4
2,2,1,4
2,2,3,15377
2,2,6,94259
2,2,7,93235
2,2,8,4
2,3,1,4
2,3,3,14430
2,3,6,4
2,3,7,4
2,3,8,4
2,4,1,4
2,4,2,4
2,4,3,4
2,4,4,4
2,4,5,4
2,4,6,4
2,4,7,4
2,4,8,4
2,4,9,7220
2,4,14,68659
2,5,6,4
2,5,7,4
2,5,8,4
2,5,9,4
2,5,10,4
2,5,11,4
2,5,12,4
2,5,13,4
2,5,14,4
3,0,1,4
3,0,6,11319
3,0,7,12343
3,0,8,4
3,0,14,3124
3,1,1,11279
3,1,8,4
3,2,1,12303
3,2,8,27700
3,3,1,4
3,3,6,92211
3,3,7,93235
3,3,8,4
3,4,1,4
3,4,2,4
3,4,3,4
3,4,4,4
3,4,5,4
3,4,6,4
3,4,7,4
3,4,8,4
3,4,9,8244
3,4,14,4
3,5,1,4
3,5,6,4
3,5,7,4
3,5,8,4
3,5,9,4
3,5,10,4
3,5,11,4
3,5,12,4
3,5,13,4
3,5,14,4
4,0,1,4
4,0,2,43106
4,0,3,60465
4,0,4,10338
4,0,6,12343
4,0,7,13367
4,0,8,4
4,0,14,4148
4,1,1,10255
4,1,8,4
4,2,1,11279
4,2,8,28724
4,3,1,4
4,3,6,126003
4,3,7,127027
4,3,8,4
4,4,1,4
4,4,2,4
4,4,3,4
4,4,4,4
4,4,5,4
4,4,6,4
4,4,7,4
4,4,8,4
4,4,9,9268
4,4,14,4
4,5,6,24627
4,5,7,23603
4,5,8,4
4,5,9,4
4,5,10,4
4,5,11,4
4,5,12,4
4,5,13,4
4,5,14,4
5,0,1,4
5,0,7,14430
5,0,8,4
5,0,14,4148
5,1,1,4
5,1,7,80927
5,1,8,4
5,2,1,4
5,2,6,128051
5,2,7,129075
5,2,8,4
5,3,1,4
5,3,6,4
5,3,7,4
